hoofdstuknr,hoofdstuknaam,case,opdrachtgever,naam_images,naam_gallery,naam_gallery_met_tekstvak,flourish_url,tekst_images,tekst_gallery_met_tekstvak,tekst_gallery,tekst_flourish,tekst_case,,,,
2,stikstoffff,Explainer stikstofgevoelige natuur,Eigen project,,"2_1_2_stikstofnatuur1.mp4,2_1_2_stikstofnatuur1a.mp4,2_1_2_stikstofnatuur2.mp4,2_1_2_stikstofnatuur1c.mp4,2_1_2_stikstofnatuur3.mp4,2_1_2_stikstofnatuur4.mp4,2_1_2_stikstofnatuur5.mp4,2_1_2_stikstofnatuur6.mp4",,,,,animatie die laat zien hoe wordt bepaald wanneer de stikstofnorm wordt overschreden,,Een herontwerp van de datavisualisaties die ik in 2023 maakte voor het NRC (zie hieronder) over de stikstofcrisis in Nederland.  In dit herontwerp leg ik de nadruk op het verschil in stikstofgevoeligheid per type natuur en laat ik zien hoe die grenzen in veel gebieden worden overschreden. ,,,,
2,stikstoffff,Van hexagoon tot piekbelaster,NRC,"2_1_1_stikstof1.png,2_1_1_stikstof2.mp4,2_1_1_stikstof3.png",,,,Visualisatie in NRC: explainer hoe de overheid aan stikstof rekent |Visualisatie van stikstofemissie op basis van eigen doorrekening|Grafische voorstelling van invloed van de landbouw op stikstof,,,,"De stikstofcrisis, hoe werkt dat precies. Door zelf berekeningen te kunnen maken met het Aerius model (waarmee de overheid de stikstof depositie bepaalt) konden we dit goed uitleggen. Waar wordt de norm overschreden, hoe wordt berekend waar de stikstofuistoot vanaf de bron terecht komt en waar bevinden zich de grootste piekbelasters? Ik bracht dit in beeld met kaarten en grafieken.",https://www.nrc.nl/nieuws/2023/03/23/van-hexagoon-tot-piekbelaster-zo-rekent-de-overheid-aan-stikstof-a4158468,,,
2,stikstoffff,Met Wiersma’s plan kan de uitstoot bijna verdubbelen,Follow the Money,"2_1_3_stikstof_ftm1.png,2_1_3_stikstof_ftm2.png,2_1_3_stikstof_ftm3.png",,,,Hoofdbeeld voor artikel op FTM|3D visualisatie van de maximale uitstoot|infographic die uitlegt wat het verhogen van de rekengrens betekent,,,,Eind 2025 wilde het kabinet de stikstofgrens versoepelen en daarmee kleine uitbreidingen van veehouders vergunningsvrij maken. Ik bracht in beeld wat het effect is van het verhogen van deze ondergrens voor stikstof: ogenschijnlijk kleine uitbreidingen per bedrijf leiden samen tot een grote toename van uitstoot en druk op natuurgebieden.,https://www.ftm.nl/artikelen/gevolgen-versoepeling-stikstofgrens-wiersma?share=w4xn%2BtTM7jlwEVY33A3BfHqPFGNnTDBuXXPQAKct6dvZt%2B1BtTujk3uLOA5RvN4%3D,,,
4,Klimaat en aarde,Europa droogt uit,NRC,2_2_1_droogte.png,,,,Voorpagina NRC dat de toename van droogte binnen Europa laat zien,,,,"Het jaar 2022 is was het droogste jaar ooit gemeten. Met klimaatdata maakte ik een serie kaarten over de bodemvochtigheid in Europa. De visualisatie laat zien waar droogte uitzonderlijke niveaus bereikt, veroorzaakt door een combinatie van weinig neerslag en langdurige hitte.",,,nrc-krant-20220812-101,
4,Klimaat en aarde,IJsschots A23,NRC,"2_2_2_ijsberg1.png,2_2_2_ijsberg2.png,2_2_2_ijsberg2.mp4",,,,"Route van de ijsberg vanaf 2022, zoals gepubliceerd in de papier NRC krant|route van de ijsberg en waar deze uiteindelijk vastloopt in South Georgia|Geanimeerde route voor het online artikel, met daarbij het aangroeiende en afnemende zee-ijs door de seizoenen heen",,,,"In maart 2023 gebeurde er iets bijzonders, de ijsschots die 40 jaar geleden van Antarctica afbrak strandde drieduizend kilometer noordelijker in South Georgia. Voor dit artikel in NRC vertaalde ik satellietdata naar visualisaties van de reis van deze ijsberg A23a.",https://www.nrc.nl/nieuws/2025/03/11/mega-ijsberg-loopt-aan-de-grond-bij-dierenparadijs-south-georgia-a4885918,,nrc-krant-20250315-614,
4,Klimaat en aarde,Noordpoolijs,NRC,"2_2_3_noordpool1.mp4,2_2_3_noordpool2.png",,,,Animatie voor het online artikel van de afname van het zee-ijs door de jaren heen|Graphic die de ontwikkeling van het zeeijsoppervlakte ook voor de andere maanden laat zien. Hierbij wordt duidelijk dat het zeeijs op zijn kleinst is in september en grootst in februari.,,,,"Voor dit artikel in NRC visualiseerde ik de afname van zee-ijs in het Noordpoolgebied sinds 1979, en liet ik zien hoe zowel de omvang als de dikte van het ijs afnemen. De visualisaties maken zichtbaar hoe uitzonderlijk recente jaren zijn in historisch perspectief.",https://www.nrc.nl/nieuws/2023/10/12/het-zee-ijs-in-het-noordpoolgebied-verdwijnt-dat-heeft-wereldwijd-gevolgen-a4176896,,nrc-krant-20231014-702,
4,Klimaat en aarde,Klimaat jaar in beeld,NRC,"2_2_4_klimaatjaar1.png,2_2_4_klimaatjaar2.mp4,2_2_4_klimaatjaar3.png",,,,"Online artikel waarin verschillende voorbeelden worden uitgelicht van extreme fenomenen in 2023, onder andere het warmer wordende zeewater, bosbranden in Canada, de afname van zeeijs en de extreme warmte|animatie van de aanwezigheid van koolstof in de lucht, een indicator voor (natuur)branden en de visualisatie van windstromen in de buurt van zuid Mexico die duidelijk het pad van de orkaan laten zien|Vertaling van de graphics voor de papieren NRC krant",,,,"2023 was een jaar vol extremen, met per maand een aantal opvallende gebeurtenissen, van natuurbranden en smeltend zee-ijs tot extreme stormen. Zo wordt zichtbaar hoe uitzonderlijk het jaar was en hoe verschillende klimaateffecten zich wereldwijd manifesteerden.",https://www.nrc.nl/nieuws/2024/01/18/dit-zijn-de-extremen-van-2023-het-warmste-jaar-sinds-mensenheugenis-a4186519,,nrc-krant-20240120-714,
1,Routes en beweging,De reis van tweedehands kleding,Follow the Money,,"2_3_3_kleding1.mp4,2_3_3_kleding2.mp4,2_3_3_kleding3.mp4,2_3_3_kleding4.mp4",,story/3652985?3051962,"Animatie voor online artikel op FTM waarin duidelijk wordt gemaakt in welke landen de getagde tweedehands kleding terecht komt, met als voorbeeld een kledingstuk dat in een freezone in Pakistan belandt|Grafieken die de toename van de export van gebruikte kleding naar het buitenland tonen en het effect hiervan op de co2 uitstoot.",,tekst animatie,tekst_story,"Wat gebeurt er met je weggebrachte tweedehandskleding? Follow the Money zocht het uit door gps-tags te plaatsen op kledingstukken in containers. Voor dit artikel voor FTM liet ik zien hoe tweedehands kleding de wereld over reist, en hoe deze op het eerste gezicht circulaire keten juist leidt tot extra uitstoot en complexe, ondoorzichtige routes.",https://www.ftm.nl/artikelen/dit-is-het-smerige-verhaal-achter-jouw-tweedehands-kleding?,,,
1,Routes en beweging,Drones boven Den Haag,"Den Haag Centraal, SPIT","2_3_2_drone1.mp4,2_3_2_drone2.mp4,2_3_2_drone3.mp4",,,,"Visualisatie van de drone die boven de ambassadewijk vloog in Den Haag|De drone die boven het binnenhof, het ministerie van defensie en het paleis vloog|De opmerkelijke route van een drone boven het Vredespaleis",,,,"Onderzoekscollectief SPIT wist data te bemachtigen van alle dronevluchten boven de stad Den Haag. Ik visualiseerde deze data in 3D. Ik bracht in kaart waar en hoe vaak drones verschijnen, en liet zien hoe veel van deze vluchten plaatsvinden in verboden of gevoelige gebieden. Het artikel verscheen in de het weekblad Den Haag Centraal.",https://www.denhaagcentraal.net/onderzoek/duizenden-drones-in-haags-luchtruim/,https://www.onderzoekscollectiefspit.nl/longreads/ongewenste-gasten-in-haags-luchtruim,,
1,Routes en beweging,Rondje Balkan met mijn busje,Eigen project,2_3_4_rondjebalkan.png,,,,"In 2022 vertrokken ik en mijn vriendin op reis naar de Balkan en terug. Ik maakte onze reis inzichtelijk. In welke landen waren we en hoe lang verbleven we op 1 plek? Sliepen we op een bergtop, aan het strand of in het bos, en hoeveel kilometer reden we per dag? ",,,,,,,,
